Покупательская активность,Тип сервиса,Разрешить сообщать,Маркет_актив_6_мес,Длительность,Акционные_покупки,Популярная_категория,Средний_просмотр_категорий_за_визит,Выручка_от_клиента_текущий_месяц,Разность_выручки_тек_прошлый_месяц,Ошибка_сервиса,Страниц_за_визит,Всего_минут_текущем_месяце,Всего_минут_предыдущий_месяц
Снизилась,премиум,да,3,780,0.99,Косметика и аксесуары,2,4780,-1085,3,6,8,7
Снизилась,премиум,да,4,839,0.22,Домашний текстиль,4,4900,-178,5,6,11,11
Снизилась,стандарт,да,4,749,0.3,Товары для детей,1,4507,-902,5,6,10,8
Снизилась,стандарт,да,2,553,0.24,Кухонная посуда,3,4755,-350,1,2,11,13
Снизилась,стандарт,да,2,549,0.3,Кухонная посуда,1,4436,-506,3,2,12,14
Снизилась,премиум,да,3,845,0.32,Мелкая бытовая техника и электроника,2,4379,-901,5,4,10,6
Снизилась,стандарт,да,2,251,0.32,Техника для красоты и здоровья,2,4310,-65,1,5,10,13
Снизилась,премиум,да,4,666,0.99,Мелкая бытовая техника и электроника,2,4459,6,7,6,9,7
Снизилась,премиум,да,4,962,0.3,Косметика и аксесуары,2,4419,-292,2,5,7,7
Снизилась,премиум,да,5,672,0.39,Мелкая бытовая техника и электроника,1,4931,-864,4,6,10,7
Снизилась,премиум,да,4,929,0.99,Техника для красоты и здоровья,3,4772,-862,4,5,10,13
Снизилась,стандарт,да,4,582,0.99,Косметика и аксесуары,1,4782,-259,2,4,11,10
Снизилась,стандарт,нет,3,657,0.24,Мелкая бытовая техника и электроника,4,4636,-188,3,4,9,8
Снизилась,стандарт,да,4,529,0.22,Товары для детей,2,4372,-336,2,2,9,10
Снизилась,стандарт,да,3,537,0.27,Кухонная посуда,3,4585,-983,5,2,9,10
Снизилась,стандарт,да,5,718,0.32,Мелкая бытовая техника и электроника,1,4503,-451,5,3,9,9
Снизилась,стандарт,нет,3,810,0.89,Домашний текстиль,4,4698,-842,4,3,6,9
Снизилась,стандарт,нет,2,715,0.4,Кухонная посуда,3,4217,-595,5,5,8,10
Снизилась,стандарт,да,6,805,0.99,Домашний текстиль,2,4940,-418,3,4,11,12
Снизилась,стандарт,нет,6,181,0.31,Мелкая бытовая техника и электроника,1,4719,-268,3,4,13,7
Снизилась,премиум,нет,1,684,0.94,Товары для детей,3,4656,-739,1,6,9,11
Снизилась,стандарт,да,4,819,0.94,Товары для детей,1,4847,-289,4,2,10,13
Снизилась,стандарт,да,4,217,0.39,Косметика и аксесуары,2,4227,-180,5,4,10,7
Снизилась,премиум,да,6,736,0.32,Косметика и аксесуары,2,4519,-191,5,4,9,11
Снизилась,стандарт,нет,6,163,0.36,Мелкая бытовая техника и электроника,1,4680,-838,3,2,10,9
Снизилась,стандарт,нет,1,822,0.36,Мелкая бытовая техника и электроника,2,4709,-722,7,6,10,7
Снизилась,стандарт,да,4,618,0.39,Товары для детей,2,4532,-822,5,2,12,6
Снизилась,стандарт,да,4,1012,0.4,Техника для красоты и здоровья,4,4511,-531,3,5,9,11
Снизилась,стандарт,да,3,441,0.39,Мелкая бытовая техника и электроника,2,4722,-317,1,7,9,7
Снизилась,стандарт,да,3,302,0.28,Мелкая бытовая техника и электроника,1,4291,-675,5,4,6,5
Снизилась,премиум,да,3,822,0.21,Кухонная посуда,3,4944,-972,2,3,11,8
Снизилась,стандарт,нет,4,732,0.25,Домашний текстиль,3,4741,-194,2,3,10,11
Снизилась,стандарт,да,4,703,0.22,Мелкая бытовая техника и электроника,2,4138,-538,8,2,10,6
Снизилась,премиум,да,3,467,0.95,Косметика и аксесуары,2,4544,-410,7,3,8,8
Снизилась,премиум,да,4,343,0.94,Мелкая бытовая техника и электроника,2,4723,-563,2,2,9,6
Снизилась,стандарт,да,4,551,0.94,Мелкая бытовая техника и электроника,2,4934,-186,3,5,11,8
Снизилась,стандарт,да,4,490,0.98,Кухонная посуда,3,4563,-568,3,2,11,9
Снизилась,премиум,да,4,820,0.22,Косметика и аксесуары,1,4670,-473,8,6,8,7
Снизилась,стандарт,да,4,261,0.31,Кухонная посуда,1,4128,-522,1,2,12,9
Снизилась,стандарт,нет,2,340,0.4,Домашний текстиль,1,4105,-333,1,3,11,8
Снизилась,стандарт,да,3,304,0.25,Домашний текстиль,1,4305,-323,5,3,11,11
Снизилась,премиум,да,4,937,0.3,Кухонная посуда,4,4737,-248,1,5,8,9
Снизилась,стандарт,нет,4,223,0.29,Мелкая бытовая техника и электроника,1,4327,-602,1,3,9,10
Снизилась,стандарт,да,5,714,0.24,Товары для детей,2,4989,-469,4,4,8,13
Снизилась,стандарт,да,5,622,0.31,Товары для детей,2,4871,-485,2,5,11,11
Снизилась,стандарт,да,4,799,0.27,Косметика и аксесуары,3,4523,-276,5,4,6,6
Снизилась,стандарт,да,5,326,0.89,Техника для красоты и здоровья,2,4995,-1108,5,2,13,12
Снизилась,премиум,да,4,1079,0.3,Товары для детей,4,4603,-738,4,3,9,10
Снизилась,стандарт,да,4,538,0.35,Товары для детей,2,4985,-734,2,4,11,15
Снизилась,стандарт,да,3,607,0.28,Кухонная посуда,2,4606,-605,3,1,9,10
Снизилась,стандарт,да,4,753,0.22,Косметика и аксесуары,3,4635,-503,3,4,11,10
Снизилась,премиум,да,4,648,0.21,Косметика и аксесуары,1,4978,-398,4,6,9,10
Снизилась,премиум,да,1,795,0.29,Домашний текстиль,2,4986,-942,7,6,10,10
Снизилась,стандарт,да,5,388,0.23,Мелкая бытовая техника и электроника,2,4530,-258,6,2,8,5
Снизилась,стандарт,нет,4,561,0.98,Товары для детей,1,4595,-537,5,2,10,11
Снизилась,премиум,да,2,722,0.89,Домашний текстиль,1,4491,-84,7,6,8,9
Снизилась,стандарт,да,5,429,0.34,Мелкая бытовая техника и электроника,2,4758,-515,7,6,12,12
Снизилась,стандарт,да,3,540,0.36,Товары для детей,2,4928,-348,2,7,8,13
Снизилась,стандарт,да,2,306,0.89,Косметика и аксесуары,1,4746,-172,2,2,12,13
Снизилась,стандарт,да,4,275,0.27,Товары для детей,3,4791,-507,3,3,10,13
Снизилась,премиум,да,4,944,0.22,Домашний текстиль,4,4591,-503,2,4,12,11
Снизилась,стандарт,да,2,1035,0.3,Косметика и аксесуары,3,4826,-613,3,4,7,9
Снизилась,премиум,да,3,384,0.98,Кухонная посуда,1,4779,-633,4,3,11,16
Снизилась,премиум,да,4,935,0.39,Техника для красоты и здоровья,3,4660,-648,6,4,10,7
Снизилась,стандарт,да,4,685,0.89,Техника для красоты и здоровья,2,4429,-659,3,3,10,12
Снизилась,стандарт,нет,4,811,0.93,Косметика и аксесуары,4,4518,51,5,8,14,12
Снизилась,премиум,да,3,681,0.27,Косметика и аксесуары,1,4559,-181,6,7,8,10
Снизилась,стандарт,да,1,212,0.95,Домашний текстиль,2,4444,-161,4,2,7,9
Снизилась,стандарт,нет,2,188,0.89,Мелкая бытовая техника и электроника,2,4546,-355,4,2,7,8
Снизилась,стандарт,нет,2,711,0.22,Косметика и аксесуары,2,4831,-187,2,6,6,8
Снизилась,стандарт,да,2,485,0.28,Товары для детей,3,4676,-654,3,2,12,9
Снизилась,премиум,нет,1,657,0.99,Домашний текстиль,2,4568,-325,2,5,7,10
Снизилась,стандарт,да,4,730,0.94,Мелкая бытовая техника и электроника,2,4435,-218,7,6,13,10
Снизилась,премиум,да,3,484,0.21,Косметика и аксесуары,2,4838,-697,3,8,4,9
Снизилась,премиум,да,4,570,0.4,Кухонная посуда,3,4974,-741,2,3,10,10
Снизилась,стандарт,нет,5,352,0.89,Домашний текстиль,1,4755,-311,2,6,10,12
Снизилась,премиум,да,4,658,0.98,Товары для детей,3,4402,-233,2,5,14,7
Снизилась,премиум,да,2,1065,0.3,Косметика и аксесуары,3,4444,-538,1,4,9,7
Снизилась,премиум,да,4,794,0.93,Кухонная посуда,3,4668,-477,8,6,10,12
Снизилась,стандарт,да,5,293,0.24,Товары для детей,1,4872,34,3,3,14,12
Снизилась,стандарт,да,4,694,0.4,Кухонная посуда,3,4864,-660,4,6,9,13
Снизилась,премиум,да,4,873,0.39,Товары для детей,3,4691,-650,2,5,10,10
Снизилась,стандарт,да,2,952,0.3,Техника для красоты и здоровья,3,4165,-732,2,3,14,13
Снизилась,стандарт,да,5,507,0.98,Косметика и аксесуары,2,4738,-1055,4,3,8,8
Снизилась,стандарт,нет,3,447,0.25,Домашний текстиль,2,4217,-897,6,4,9,8
Снизилась,премиум,да,2,460,0.22,Косметика и аксесуары,1,4260,-734,8,4,11,10
Снизилась,премиум,да,4,449,0.4,Косметика и аксесуары,3,4727,-287,1,5,7,8
Снизилась,стандарт,да,4,906,0.33,Мелкая бытовая техника и электроника,3,4513,-82,3,1,10,6
Снизилась,премиум,да,4,646,0.39,Косметика и аксесуары,3,4778,-3,6,7,9,10
Снизилась,премиум,да,4,444,0.94,Кухонная посуда,2,4964,-620,3,2,11,8
Снизилась,стандарт,нет,2,731,0.22,Домашний текстиль,3,4226,-113,3,4,11,10
Снизилась,стандарт,да,2,846,0.4,Мелкая бытовая техника и электроника,2,4908,-58,4,5,14,10
Снизилась,стандарт,да,6,402,0.22,Мелкая бытовая техника и электроника,2,5008,-591,4,5,7,8
Снизилась,стандарт,да,4,598,0.39,Косметика и аксесуары,2,4622,-533,5,5,12,9
Снизилась,стандарт,нет,4,780,0.3,Косметика и аксесуары,4,4700,32,2,6,9,11
Снизилась,стандарт,да,4,791,0.93,Кухонная посуда,4,4850,-309,2,5,11,9
Снизилась,стандарт,да,3,196,0.4,Мелкая бытовая техника и электроника,1,4460,-154,3,5,8,10
Снизилась,стандарт,да,4,800,0.22,Домашний текстиль,4,4652,-200,2,4,11,9
Снизилась,стандарт,нет,4,663,0.98,Косметика и аксесуары,3,4955,-570,4,3,11,16
Снизилась,стандарт,нет,4,482,0.24,Косметика и аксесуары,2,4262,-422,1,5,14,9
Снизилась,премиум,да,4,1051,0.22,Косметика и аксесуары,2,4607,-356,3,7,11,5
Снизилась,премиум,нет,5,511,0.99,Косметика и аксесуары,2,4488,-1071,5,4,9,11
Снизилась,премиум,да,6,540,0.36,Косметика и аксесуары,2,4734,-210,2,8,11,8
Снизилась,стандарт,да,1,225,0.36,Косметика и аксесуары,2,4679,-298,2,3,10,9
Снизилась,премиум,нет,5,187,0.23,Мелкая бытовая техника и электроника,1,4500,-182,3,2,7,9
Снизилась,стандарт,нет,3,875,0.25,Мелкая бытовая техника и электроника,2,4258,-619,1,3,9,9
Снизилась,премиум,нет,4,769,0.3,Домашний текстиль,3,4774,-1027,6,7,7,13
Снизилась,стандарт,да,5,563,0.94,Товары для детей,1,4809,-566,7,4,14,10
Снизилась,стандарт,да,5,373,0.25,Мелкая бытовая техника и электроника,2,4595,-214,2,5,10,13
Снизилась,премиум,да,4,375,0.32,Косметика и аксесуары,1,4332,-1020,3,3,8,11
Снизилась,стандарт,да,2,439,0.31,Кухонная посуда,1,4370,-701,2,1,9,6
Снизилась,стандарт,да,2,550,0.94,Мелкая бытовая техника и электроника,4,4990,-443,3,6,9,9
Снизилась,премиум,да,4,987,0.35,Техника для красоты и здоровья,3,4932,-1140,8,6,9,10
Снизилась,стандарт,да,4,452,0.93,Товары для детей,1,4168,-409,5,4,10,10
Прежний уровень,стандарт,нет,4,534,0.18,Кухонная посуда,3,4552,-354,4,10,13,13
Прежний уровень,премиум,да,6,624,0.3,Техника для красоты и здоровья,4,4928,175,6,14,17,14
Прежний уровень,стандарт,да,5,634,0.21,Товары для детей,4,4730,-941,3,10,14,13
Прежний уровень,стандарт,да,4,957,0.17,Техника для красоты и здоровья,5,4769,345,6,9,12,14
Прежний уровень,стандарт,нет,4,475,0.3,Мелкая бытовая техника и электроника,3,4635,-369,7,7,8,13
Прежний уровень,премиум,да,6,191,0.17,Косметика и аксесуары,6,4808,275,4,8,15,15
Прежний уровень,премиум,да,5,937,0.14,Домашний текстиль,5,4752,-494,4,14,12,7
Прежний уровень,стандарт,да,4,216,0.18,Техника для красоты и здоровья,2,4814,-543,5,13,7,19
Прежний уровень,стандарт,нет,5,923,0.15,Кухонная посуда,2,4943,-175,6,10,17,18
Прежний уровень,стандарт,да,5,998,0.94,Товары для детей,3,4901,182,2,8,18,18
Прежний уровень,премиум,да,6,486,0.94,Мелкая бытовая техника и электроника,4,5095,-494,4,9,12,14
Прежний уровень,премиум,да,4,589,0.21,Кухонная посуда,3,5329,76,4,6,12,20
Прежний уровень,премиум,да,3,949,0.24,Техника для красоты и здоровья,3,5089,-67,4,6,14,14
Прежний уровень,стандарт,нет,6,565,0.14,Домашний текстиль,5,5023,514,4,12,18,12
Прежний уровень,стандарт,да,5,822,0.28,Товары для детей,4,5337,-271,2,11,12,18
Прежний уровень,стандарт,нет,4,300,0.23,Мелкая бытовая техника и электроника,3,5228,-661,4,4,14,12
Прежний уровень,стандарт,да,4,539,0.11,Косметика и аксесуары,2,4359,-1013,5,7,5,15
Прежний уровень,стандарт,нет,4,388,0.99,Косметика и аксесуары,4,4528,-204,4,8,17,18
Прежний уровень,стандарт,да,4,857,0.14,Кухонная посуда,2,4904,36,6,4,20,12
Прежний уровень,премиум,да,4,316,0.12,Товары для детей,2,5282,369,4,6,18,14
Прежний уровень,стандарт,да,5,744,0.28,Техника для красоты и здоровья,4,4921,-560,5,9,9,17
Прежний уровень,стандарт,нет,4,553,0.23,Домашний текстиль,5,4495,-321,3,10,9,12
Прежний уровень,стандарт,да,5,749,0.14,Товары для детей,5,5175,82,4,9,14,20
Прежний уровень,стандарт,да,6,272,0.17,Косметика и аксесуары,4,5060,-53,4,6,22,13
Прежний уровень,стандарт,да,5,321,0.23,Товары для детей,4,4802,-693,4,12,17,15
Прежний уровень,стандарт,да,5,831,0.12,Косметика и аксесуары,2,5103,392,3,10,16,13
Прежний уровень,стандарт,да,5,657,0.11,Техника для красоты и здоровья,2,5542,118,2,9,16,16
Прежний уровень,стандарт,нет,5,157,0.15,Мелкая бытовая техника и электроника,5,4934,604,5,13,16,19
Прежний уровень,стандарт,нет,4,467,0.15,Техника для красоты и здоровья,2,4712,-216,2,10,11,15
Прежний уровень,премиум,да,4,849,0.28,Товары для детей,6,4908,-159,3,13,20,14
Прежний уровень,стандарт,да,4,609,0.24,Товары для детей,4,5364,-302,5,15,19,20
Прежний уровень,премиум,да,4,242,0.16,Техника для красоты и здоровья,4,5142,538,2,11,15,19
Прежний уровень,премиум,да,4,728,0.28,Косметика и аксесуары,4,4950,-303,2,5,21,12
Прежний уровень,премиум,да,4,937,0.17,Кухонная посуда,5,4900,-86,8,6,16,14
Прежний уровень,стандарт,да,5,457,0.17,Товары для детей,4,5624,-18,5,5,10,12
Прежний уровень,стандарт,нет,6,159,0.25,Домашний текстиль,5,4671,30,3,12,8,21
Прежний уровень,стандарт,да,3,207,0.3,Домашний текстиль,6,4903,492,4,14,14,21
Прежний уровень,премиум,да,5,899,0.24,Домашний текстиль,4,5045,-166,2,17,16,17
Прежний уровень,премиум,да,3,834,0.94,Техника для красоты и здоровья,3,4529,-376,3,7,8,11
Прежний уровень,стандарт,да,5,808,0.23,Косметика и аксесуары,3,5261,-14,5,7,14,13
Прежний уровень,стандарт,да,3,205,0.13,Домашний текстиль,3,5364,15,4,7,19,17
Прежний уровень,премиум,да,4,985,0.26,Мелкая бытовая техника и электроника,5,4908,-572,8,5,20,16
Прежний уровень,премиум,да,5,400,0.13,Мелкая бытовая техника и электроника,2,4897,-470,4,12,16,10
Прежний уровень,премиум,да,6,634,0.14,Домашний текстиль,3,5095,-518,3,11,6,15
Прежний уровень,стандарт,да,4,529,0.14,Товары для детей,4,5012,253,7,13,17,17
Прежний уровень,премиум,да,4,855,0.16,Домашний текстиль,5,4530,-358,2,7,16,14
Прежний уровень,премиум,да,6,597,0.15,Косметика и аксесуары,3,4964,-721,3,8,18,16
Прежний уровень,премиум,да,4,1061,0.16,Мелкая бытовая техника и электроника,3,4583,-315,8,8,19,12
Прежний уровень,стандарт,нет,6,433,0.21,Техника для красоты и здоровья,4,4802,-147,5,10,16,16
Прежний уровень,стандарт,да,5,157,0.94,Техника для красоты и здоровья,3,4550,-416,4,7,17,14
Прежний уровень,стандарт,да,4,389,0.24,Домашний текстиль,4,4883,151,8,12,16,15
Прежний уровень,стандарт,да,4,363,0.28,Товары для детей,4,4648,-567,4,9,16,11
Прежний уровень,стандарт,да,4,670,0.28,Мелкая бытовая техника и электроника,5,5036,-269,3,5,14,11
Прежний уровень,премиум,да,4,585,0.94,Мелкая бытовая техника и электроника,6,4570,-517,4,14,9,12
Прежний уровень,премиум,да,3,819,0.16,Товары для детей,4,5154,-133,4,11,20,11
Прежний уровень,стандарт,нет,4,539,0.28,Домашний текстиль,5,5273,-219,7,9,22,9
Прежний уровень,стандарт,да,3,896,0.99,Мелкая бытовая техника и электроника,5,4877,-241,1,7,14,17
Прежний уровень,стандарт,нет,4,1064,0.15,Товары для детей,3,4691,-377,3,13,16,12
Прежний уровень,стандарт,да,6,762,0.16,Домашний текстиль,4,4507,-187,3,12,7,16
Прежний уровень,стандарт,да,6,431,0.2,Косметика и аксесуары,2,5601,458,2,6,18,14
Прежний уровень,стандарт,нет,4,284,0.25,Товары для детей,5,4353,-684,5,11,5,17
Прежний уровень,премиум,да,4,192,0.24,Косметика и аксесуары,2,4997,260,4,8,13,19
Прежний уровень,стандарт,да,4,741,0.23,Мелкая бытовая техника и электроника,3,4663,-568,6,10,10,16
Прежний уровень,премиум,да,3,450,0.25,Домашний текстиль,4,5210,438,8,14,21,23
Прежний уровень,стандарт,да,3,571,0.12,Домашний текстиль,4,4439,-928,5,16,10,9
Прежний уровень,премиум,да,4,623,0.17,Кухонная посуда,3,5051,11,4,12,20,15
Прежний уровень,стандарт,да,4,199,0.15,Техника для красоты и здоровья,4,4733,-226,2,15,10,19
Прежний уровень,премиум,да,5,438,0.24,Домашний текстиль,3,4735,-483,4,12,11,13
Прежний уровень,стандарт,нет,6,923,0.25,Мелкая бытовая техника и электроника,6,5201,189,4,3,19,12
Прежний уровень,премиум,да,3,708,0.28,Домашний текстиль,3,5444,-334,3,13,10,16
Прежний уровень,стандарт,да,5,167,0.3,Техника для красоты и здоровья,6,4416,-529,3,11,13,16
Прежний уровень,стандарт,нет,3,209,0.29,Товары для детей,5,4869,-451,2,11,9,10
Прежний уровень,премиум,да,4,581,0.95,Мелкая бытовая техника и электроника,5,5324,647,7,11,14,18
Прежний уровень,премиум,да,5,829,0.28,Мелкая бытовая техника и электроника,2,5017,-648,5,9,15,20
Прежний уровень,стандарт,нет,4,607,0.14,Товары для детей,2,4928,-595,2,17,15,14
Прежний уровень,стандарт,да,5,572,0.23,Домашний текстиль,2,5600,298,7,13,15,21
Прежний уровень,стандарт,да,4,365,0.21,Домашний текстиль,5,4781,-113,2,7,12,15
Прежний уровень,стандарт,нет,4,566,0.2,Косметика и аксесуары,2,5053,-7,4,10,15,17
Прежний уровень,премиум,нет,5,811,0.24,Товары для детей,2,5073,-49,7,14,20,17
Прежний уровень,стандарт,нет,5,268,0.3,Домашний текстиль,6,4900,-139,5,6,11,21
Прежний уровень,премиум,да,5,558,0.3,Товары для детей,3,5240,-557,3,16,14,10
Прежний уровень,стандарт,да,5,534,0.13,Домашний текстиль,4,4633,-669,5,7,19,14
Прежний уровень,стандарт,да,5,730,0.18,Товары для детей,2,5311,-586,5,14,8,19
Прежний уровень,стандарт,да,4,488,0.23,Техника для красоты и здоровья,5,4572,54,6,4,18,17
Прежний уровень,стандарт,нет,4,436,0.99,Мелкая бытовая техника и электроника,3,4662,-269,3,4,10,14
Прежний уровень,премиум,нет,5,637,0.17,Техника для красоты и здоровья,3,5204,477,7,9,19,14
Прежний уровень,стандарт,да,4,554,0.14,Домашний текстиль,6,4635,-289,7,16,13,15
Прежний уровень,стандарт,да,4,330,0.25,Мелкая бытовая техника и электроника,6,5213,234,4,9,14,21
Прежний уровень,стандарт,да,5,504,0.13,Мелкая бытовая техника и электроника,2,4992,-118,5,7,10,12
Прежний уровень,стандарт,да,5,1020,0.14,Косметика и аксесуары,2,5268,250,6,9,18,15
Прежний уровень,стандарт,да,6,721,0.14,Домашний текстиль,5,4932,-174,6,13,13,17
Прежний уровень,стандарт,да,3,495,0.14,Домашний текстиль,2,4582,-270,2,12,13,13
Прежний уровень,стандарт,да,4,135,0.24,Косметика и аксесуары,5,5351,47,4,11,22,17
Прежний уровень,стандарт,да,6,663,0.12,Домашний текстиль,4,5621,-645,4,10,12,9
Прежний уровень,премиум,да,4,1047,0.94,Товары для детей,5,4642,-156,3,9,10,8
Прежний уровень,стандарт,да,6,152,0.14,Косметика и аксесуары,6,4579,-415,6,10,9,14
Прежний уровень,премиум,да,4,754,0.99,Косметика и аксесуары,3,4880,-306,6,6,14,9
Прежний уровень,премиум,да,5,525,0.95,Кухонная посуда,5,5120,-263,2,10,18,10
Прежний уровень,стандарт,нет,6,169,0.14,Техника для красоты и здоровья,2,4956,309,4,12,14,17
Прежний уровень,стандарт,да,5,966,0.15,Товары для детей,3,4700,-259,8,15,8,18
Прежний уровень,премиум,да,5,645,0.28,Мелкая бытовая техника и электроника,3,4952,-363,4,10,11,18
Прежний уровень,стандарт,да,5,399,0.25,Товары для детей,4,4453,-97,3,5,15,18
Прежний уровень,стандарт,да,5,267,0.15,Техника для красоты и здоровья,5,4783,-516,1,7,16,19
Прежний уровень,стандарт,да,4,530,0.94,Домашний текстиль,2,5316,275,4,13,11,17
Прежний уровень,стандарт,да,6,478,0.24,Домашний текстиль,5,4837,-528,4,8,7,14
Прежний уровень,премиум,да,3,890,0.11,Косметика и аксесуары,4,4865,-226,3,11,14,7
Прежний уровень,стандарт,нет,7,830,0.14,Товары для детей,3,4953,-584,6,10,8,12
Прежний уровень,стандарт,да,6,149,0.2,Кухонная посуда,3,4682,-635,6,6,8,21
Прежний уровень,стандарт,да,4,543,0.17,Техника для красоты и здоровья,6,4376,-483,5,11,20,13
Прежний уровень,премиум,да,4,667,0.28,Мелкая бытовая техника и электроника,3,5009,623,4,13,14,19
Прежний уровень,стандарт,да,6,510,0.15,Мелкая бытовая техника и электроника,2,4347,-549,7,16,6,20
Прежний уровень,премиум,да,4,1049,0.99,Товары для детей,3,4792,212,3,11,23,14
Прежний уровень,стандарт,да,6,242,0.21,Кухонная посуда,5,4614,273,4,11,19,18
Прежний уровень,стандарт,да,5,908,0.13,Товары для детей,5,4904,-160,5,7,14,8
Прежний уровень,стандарт,да,6,408,0.16,Мелкая бытовая техника и электроника,4,5222,-72,3,12,21,12
Прежний уровень,стандарт,нет,5,900,0.16,Мелкая бытовая техника и электроника,5,4985,82,8,8,20,18
Прежний уровень,стандарт,да,6,490,0.16,Мелкая бытовая техника и электроника,2,4774,-136,5,16,12,11
Прежний уровень,стандарт,нет,4,401,0.28,Техника для красоты и здоровья,5,5388,-225,4,10,11,11
Прежний уровень,стандарт,да,3,945,0.24,Домашний текстиль,3,4852,84,4,13,20,17
Прежний уровень,стандарт,да,5,777,0.25,Техника для красоты и здоровья,2,5313,-115,6,14,14,13
Прежний уровень,стандарт,да,5,851,0.11,Косметика и аксесуары,3,5265,77,4,9,16,17
Прежний уровень,стандарт,да,5,559,0.17,Домашний текстиль,5,4370,-397,5,12,19,16
Прежний уровень,стандарт,да,6,803,0.25,Домашний текстиль,5,4795,300,6,5,11,18
Прежний уровень,премиум,нет,5,675,0.11,Кухонная посуда,2,5468,160,7,4,21,14
Прежний уровень,стандарт,нет,5,490,0.17,Домашний текстиль,3,4864,-850,5,14,7,16
Прежний уровень,стандарт,да,4,769,0.11,Товары для детей,6,5041,-343,2,11,17,16
Прежний уровень,стандарт,да,4,626,0.15,Техника для красоты и здоровья,4,5173,-945,4,16,13,14
Прежний уровень,стандарт,нет,5,203,0.28,Косметика и аксесуары,3,5139,325,6,10,18,9
Прежний уровень,премиум,да,4,280,0.94,Косметика и аксесуары,3,5122,-663,5,12,14,14
Прежний уровень,стандарт,да,4,349,0.17,Мелкая бытовая техника и электроника,6,4665,227,4,9,19,16
Прежний уровень,стандарт,да,4,540,0.25,Товары для детей,3,5494,296,1,12,10,13
Прежний уровень,стандарт,нет,5,476,0.3,Техника для красоты и здоровья,2,5596,602,7,8,13,22
Прежний уровень,премиум,да,4,897,0.3,Мелкая бытовая техника и электроника,4,4555,218,2,11,11,15
Прежний уровень,стандарт,да,5,709,0.3,Товары для детей,5,4786,199,6,9,13,17
Прежний уровень,стандарт,да,4,260,0.95,Мелкая бытовая техника и электроника,3,5226,-601,5,13,14,15
Прежний уровень,стандарт,да,4,852,0.13,Товары для детей,3,5303,-87,6,7,6,18
Прежний уровень,стандарт,да,4,997,0.17,Мелкая бытовая техника и электроника,5,4626,342,3,11,10,13
Прежний уровень,стандарт,да,6,625,0.16,Косметика и аксесуары,3,5326,117,7,5,14,13
Прежний уровень,стандарт,да,4,187,0.17,Мелкая бытовая техника и электроника,5,4741,-196,3,14,16,11
Прежний уровень,стандарт,нет,5,213,0.24,Домашний текстиль,6,4538,-194,9,11,16,17
Прежний уровень,стандарт,нет,5,228,0.11,Техника для красоты и здоровья,6,4876,251,2,5,16,19
Прежний уровень,премиум,да,6,602,0.95,Товары для детей,2,5315,-516,6,11,18,18
Прежний уровень,стандарт,да,4,870,0.3,Мелкая бытовая техника и электроника,6,4859,4,3,15,12,11
Прежний уровень,стандарт,да,5,795,0.21,Домашний текстиль,4,5086,406,7,16,19,15
Прежний уровень,стандарт,да,6,442,0.17,Мелкая бытовая техника и электроника,3,5124,-767,3,6,13,11
Прежний уровень,стандарт,нет,4,639,0.13,Мелкая бытовая техника и электроника,2,5016,53,2,10,14,22
Прежний уровень,премиум,да,4,430,0.3,Товары для детей,6,5236,609,3,11,22,18
Прежний уровень,стандарт,да,4,688,0.23,Техника для красоты и здоровья,3,4382,-835,5,11,12,11
Прежний уровень,стандарт,да,4,717,0.16,Техника для красоты и здоровья,2,4822,4,3,6,9,13
Прежний уровень,стандарт,нет,4,236,0.24,Мелкая бытовая техника и электроника,4,4460,-363,7,8,12,17
Прежний уровень,стандарт,да,6,639,0.14,Техника для красоты и здоровья,4,4346,-612,3,7,11,18
Прежний уровень,премиум,да,5,991,0.27,Товары для детей,4,5230,-155,4,17,18,11
Прежний уровень,стандарт,да,5,679,0.3,Мелкая бытовая техника и электроника,5,5241,157,1,6,14,13
Прежний уровень,стандарт,нет,4,157,0.17,Домашний текстиль,5,5047,294,4,10,20,18
Прежний уровень,стандарт,да,3,480,0.2,Мелкая бытовая техника и электроника,4,4818,-414,2,17,8,17
Прежний уровень,стандарт,да,6,228,0.28,Товары для детей,3,4483,13,3,9,6,16
Прежний уровень,стандарт,нет,6,392,0.94,Мелкая бытовая техника и электроника,4,5204,57,8,10,19,18
Прежний уровень,премиум,да,4,779,0.14,Техника для красоты и здоровья,4,5160,103,4,4,20,18
Прежний уровень,стандарт,нет,5,770,0.14,Косметика и аксесуары,2,5102,234,3,8,14,13
Прежний уровень,стандарт,да,7,499,0.24,Товары для детей,4,4779,34,4,15,11,14
Прежний уровень,стандарт,нет,4,417,0.12,Техника для красоты и здоровья,3,4933,-358,6,5,12,10
Прежний уровень,стандарт,да,5,293,0.94,Товары для детей,6,4566,-47,5,10,14,19
Прежний уровень,стандарт,да,4,492,0.95,Кухонная посуда,3,4874,-324,4,5,17,11
Прежний уровень,стандарт,да,5,602,0.25,Мелкая бытовая техника и электроника,5,5068,314,5,11,14,18
Прежний уровень,стандарт,да,3,458,0.26,Косметика и аксесуары,2,4914,-295,4,9,13,12
Прежний уровень,стандарт,да,4,564,0.21,Техника для красоты и здоровья,5,4995,-237,6,13,12,16
Прежний уровень,премиум,да,4,609,0.24,Товары для детей,5,5416,151,5,15,15,13
Прежний уровень,стандарт,да,5,471,0.14,Техника для красоты и здоровья,5,4386,-672,4,7,16,15
